1,0.9961,0.9961,0.9961,0.9961
2,0.9844,0.9845,0.9844,0.9844
3,0.9961,0.9961,0.9961,0.9961
4,0.9922,0.9923,0.9922,0.9922
5,0.9648,0.9659,0.9648,0.9646
6,0.9844,0.9853,0.9844,0.9847
7,0.9922,0.9924,0.9922,0.9922
8,0.9844,0.9847,0.9844,0.9844
9,1.0000,1.0000,1.0000,1.0000
10,1.0000,1.0000,1.0000,1.0000
11,0.9961,0.9961,0.9961,0.9961
12,0.9570,0.9604,0.9570,0.9571
13,1.0000,1.0000,1.0000,1.0000
14,0.9961,0.9961,0.9961,0.9961
15,1.0000,1.0000,1.0000,1.0000
16,0.9922,0.9923,0.9922,0.9922
17,0.9922,0.9922,0.9922,0.9921
18,1.0000,1.0000,1.0000,1.0000
19,0.9883,0.9884,0.9883,0.9882
20,1.0000,1.0000,1.0000,1.0000
